X;Y;AREA;INTERSECCI;CALLE_2;CALLE_1;CONTROLADO;DIRECCION NORMALIZADA;CALLE;CRUCE
-58,4329318237114;-34,584028301114;3;JUSTO JUAN B. AV.-COSTA RICA;COSTA RICA;JUSTO JUAN B. AV.;SIEMENS STC M4-20;COSTA RICA Y JUSTO, JUAN B. AV.;COSTA RICA;JUSTO, JUAN B. AV.
-58,4605351447477;-34,584046132728;7;ELCANO AV. - GUEVARA;GUEVARA;ELCANO AV.;SIEMENS CLS214PLUS;GUEVARA Y ELCANO AV.;GUEVARA;ELCANO AV.
-58,3939103416514;-34,584053481036;3;DEL LIBERTADOR AV.-AGOTE;AGOTE;DEL LIBERTADOR AV.;SIEMENS STC M4-20;AGOTE, LUIS DR. Y DEL LIBERTADOR AV.;AGOTE, LUIS DR.;DEL LIBERTADOR AV.
-58,4780023222818;-34,584057673083;7;DE LOS INCAS AV. - AVALOS;AVALOS;DE LOS INCAS AV.;SIEMENS CLE;AVALOS Y DE LOS INCAS AV.;AVALOS;DE LOS INCAS AV.
-58,4125718864268;-34,584062593917;3;ARAOZ-JUNCAL;JUNCAL;ARAOZ;SIEMENS STC M4-20;JUNCAL Y ARAOZ;JUNCAL;ARAOZ
-58,4662850500812;-34,584134650277;7;TRIUNVIRATO AV. - TRONADOR;TRONADOR;TRIUNVIRATO AV.;SIEMENS CLS95;TRONADOR Y TRIUNVIRATO AV.;TRONADOR;TRIUNVIRATO AV.
-58,3687188182404;-34,584151806807;3;CASTILLO RAMON S. PRES. AV.-DE LOS INMIGRANTES;DE LOS INMIGRANTES;CASTILLO RAMON S. PRES. AV.;SIEMENS CLS214PLUS;DE LOS INMIGRANTES AV. Y CASTILLO, RAMON S., PRES. AV.;DE LOS INMIGRANTES AV.;CASTILLO, RAMON S., PRES. AV.
-58,4987841249112;-34,584181430760;7;MOSCONI AV. - BOLIVIA;BOLIVIA;MOSCONI AV.;SIEMENS CLS95;ESTADO PLURINACIONAL DE BOLIVIA Y MOSCONI GENERAL AV.;ESTADO PLURINACIONAL DE BOLIVIA;MOSCONI GENERAL AV.
-58,4724602963952;-34,584328571893;7;COMBATIENTES DE MALVINAS AV. - CAMPILLO;CAMPILLO;COMBATIENTES DE MALVINAS AV.;SIEMENS CLS95;CAMPILLO Y COMBATIENTES DE MALVINAS AV.;CAMPILLO;COMBATIENTES DE MALVINAS AV.
-58,3728996625363;-34,584348644777;3;ANTARTIDA ARGENTINA AV.-GENDARMERIA NAC.;GENDARMERIA NAC.;ANTARTIDA ARGENTINA AV.;SIEMENS CLS214;GENDARMERIA NACIONAL AV. Y ANTARTIDA ARGENTINA AV.;GENDARMERIA NACIONAL AV.;ANTARTIDA ARGENTINA AV.
-58,4534323677050;-34,584358094753;4;LACROZE FEDERICO AV.-FRAGA;FRAGA;LACROZE FEDERICO AV.;AUTOTROL CT800DMC;FRAGA Y LACROZE, FEDERICO AV.;FRAGA;LACROZE, FEDERICO AV.
-58,4005468344865;-34,584471517832;3;LAS HERAS AV.-TAGLE;TAGLE;LAS HERAS AV.;SIEMENS STC M4-20;TAGLE Y LAS HERAS GENERAL AV.;TAGLE;LAS HERAS GENERAL AV.
-58,4196511670113;-34,584473084906;3;GUEMEZ-ARMENIA;ARMENIA;GUEMEZ;SIEMENS CLS214PLUS;ARMENIA Y GUEMES;ARMENIA;GUEMES
-58,4425236730982;-34,584499122191;4;VEGA NICETO CNEL.-RAVIGNANI EMILIO DR.;RAVIGNANI EMILIO DR.;VEGA NICETO CNEL.;AUTOTROL CT800DMC;RAVIGNANI, EMILIO, DR. Y VEGA, NICETO, CNEL. AV.;RAVIGNANI, EMILIO, DR.;VEGA, NICETO, CNEL. AV.
-58,5037429331637;-34,584558486663;7;NAZCA AV. - GRIVEO;GRIVEO;NAZCA AV.;SIEMENS CLE;GRIVEO Y NAZCA;GRIVEO;NAZCA
-58,4050678980703;-34,584591859424;3;BILLINGHURST-PACHECO DE MELO;PACHECO DE MELO;BILLINGHURST;SIEMENS STC M4-20;PACHECO DE MELO, JOSE ANDRES Y BILLINGHURST;PACHECO DE MELO, JOSE ANDRES;BILLINGHURST
-58,4647927460542;-34,584619897716;7;TRIUNVIRATO AV. - ESTOMBA;ESTOMBA;TRIUNVIRATO AV.;SIEMENS CLS214PLUS;ESTOMBA Y TRIUNVIRATO AV.;ESTOMBA;TRIUNVIRATO AV.
-58,4167362668188;-34,584625601915;3;SANTA FE AV.-MALABIA;MALABIA;SANTA FE AV.;SIEMENS CLS214PLUS;MALABIA Y SANTA FE AV.;MALABIA;SANTA FE AV.
-58,4278534894790;-34,584627576502;3;URIARTE-SOLER;SOLER;URIARTE;SIEMENS STC M4-20;SOLER Y URIARTE;SOLER;URIARTE
-58,4445870484628;-34,584665656192;4;CORDOBA AV.-AREVALO-DORREGO AV.;AREVALO;CORDOBA AV.;AUTOTROL CT800DMC;AREVALO Y CORDOBA AV.;AREVALO;CORDOBA AV.
-58,4242338709522;-34,584669500502;3;PARAGUAY - JORGE L BORGES;JORGE L BORGES;PARAGUAY;SIEMENS STC M4-20;BORGES, JORGE LUIS Y PARAGUAY;BORGES, JORGE LUIS;PARAGUAY
-58,4338185837061;-34,584681910637;3;JUSTO JUAN B. AV.-EL SALVADOR;EL SALVADOR;JUSTO JUAN B. AV.;SIEMENS STC M4-20;EL SALVADOR Y JUSTO, JUAN B. AV.;EL SALVADOR;JUSTO, JUAN B. AV.
-58,3917220211726;-34,584756384741;3;DEL LIBERTADOR AV.-PUEYRREDONAV.;PUEYRREDONAV.;DEL LIBERTADOR AV.;SIEMENS STC M4-20;PUEYRREDON AV. Y DEL LIBERTADOR AV.;PUEYRREDON AV.;DEL LIBERTADOR AV.
-58,4070946449328;-34,584798165413;3;DIAZ CNEL. AV. -PEÑA;PEÑA;DIAZ CNEL. AV. ;SIEMENS STC M4-20;PEÑA Y DIAZ, CNEL. AV.;PEÑA;DIAZ, CNEL. AV.
-58,4887929886896;-34,584818304317;7;DE LOS CONSTITUYENTES AV. - LA PAMPA;LA PAMPA;DE LOS CONSTITUYENTES AV.;SIEMENS CLS95;LA PAMPA Y DE LOS CONSTITUYENTES AV.;LA PAMPA;DE LOS CONSTITUYENTES AV.
