WKT;ID_DATA;ID_AREA;OBJETO;NOMBRE;ETAPA;AÑO;CALLE_A;ALTURA_DES;ALTURA_HAS;DIRECCIONN;CALLE;ALTURA;GEOCODIFIC;BARRIO;COMUNA;CODIGO_POS;CODIGO_P_1
MULTILINESTRING ((-58.5042685756129 -34.6202387186658,-58.5046595814689 -34.6193697515726,-58.504745906073 -34.619226436445,-58.5048231915869 -34.6191296163402,-58.505686662869 -34.6183183006861));21;25;SENDERO SEGURO;MONTE CASTRO;V;2009;BENITO JUAREZ;2100;2200;JUAREZ, BENITO 2100;JUAREZ, BENITO;2100;POINT(96242.9673692 100990.087666);MONTE CASTRO;COMUNA 10;1407;C1407CRH
MULTILINESTRING ((-58.4604616631297 -34.5514279816736,-58.4605389526894 -34.5513612194101,-58.4606584623734 -34.5512367086551,-58.4610318001343 -34.5508490907156,-58.4611242403136 -34.5507511296498,-58.4612066361633 -34.5506639435384,-58.4616750469617 -34.5501300503117,-58.4617731886473 -34.5500146231892,-58.4618629033593 -34.549909125968,-58.4620861677639 -34.549642847284,-58.4623942924534 -34.5492707888385),(-58.463366914812 -34.5486934364841,-58.4627863943566 -34.5494644816348));22;27;SENDERO SEGURO;NUÑEZ;V;2009;O'HIGGINS;3000;3400;O'HIGGINS 3000;O'HIGGINS;3000;POINT(100264.370248 108624.772212);NUÑEZ;COMUNA 13;1429;C1429BBD
MULTILINESTRING ((-58.4585753574694 -34.5494765038096,-58.4591482266024 -34.5486938092096,-58.4597076125515 -34.5479291374907,-58.4602836334337 -34.5471426374613,-58.4608510231725 -34.5463660615131));23;28;SENDERO SEGURO;NUÑEZ;V;2009;11 DE SEPTIEMBRE;3100;3400;11 DE SEPTIEMBRE DE 1888 3100;11 DE SEPTIEMBRE DE 1888;3100;POINT(100435.362069 108840.758004);NUÑEZ;COMUNA 13;1429;C1429BIF
MULTILINESTRING ((-58.4881721205818 -34.6034944340086,-58.4892239319753 -34.6041064864935,-58.4905436802342 -34.6048744607651,-58.4918511852173 -34.6056352402175));24;29;SENDERO SEGURO;PLAZA A. DEL VALLE;V;2009;MARCOS SASTRE;2900;3100;SASTRE, MARCOS 2900;SASTRE, MARCOS;2900;POINT(97730.0507671 102860.721063);VILLA DEL PARQUE;COMUNA 11;1417;C1417FYF
MULTILINESTRING ((-58.4918511852173 -34.6056352402175,-58.4926697179121 -34.6047155004287));25;30;SENDERO SEGURO;PLAZA A. DEL VALLE;V;2009;CUENCA;2600;NA;CUENCA 2600;CUENCA;2600;POINT(97384.1247781 102610.912933);VILLA DEL PARQUE;COMUNA 11;1417;C1417AAH
MULTILINESTRING ((-58.4926697179121 -34.6047155004287,-58.4913419454252 -34.6039446635886,-58.4899996303769 -34.6031653644267,-58.4889821558653 -34.602575002104));26;31;SENDERO SEGURO;PLAZA A. DEL VALLE;V;2009;BAIGORRIA;2900;3100;BAIGORRIA 2900;BAIGORRIA;2900;POINT(97655.0182521 102963.679619);VILLA DEL PARQUE;COMUNA 11;1417;C1417FRD
MULTILINESTRING ((-58.4889821558653 -34.602575002104,-58.4881721205818 -34.6034944340086));27;32;SENDERO SEGURO;PLAZA A. DEL VALLE;V;2009;NAZCA;2800;NA;NAZCA AV. 2800;NAZCA AV.;2800;POINT(97716.9674312 102845.206389);VILLA DEL PARQUE;COMUNA 11;1417;C1417CUQ
MULTILINESTRING ((-58.494715746012 -34.5969477125186,-58.4939401970812 -34.5979916863318,-58.493161646892 -34.5990329092075,-58.4926042384734 -34.5997778644163,-58.4919584551413 -34.6006376313314));28;33;SENDERO SEGURO;PLAZA WILLIAMS;V;2009;ARGERICH;3100;3300;ARGERICH 3100;ARGERICH;3100;POINT(97373.9001515 103165.494919);VILLA DEL PARQUE;COMUNA 11;1417;C1417CTB
MULTILINESTRING ((-58.4919584551413 -34.6006376313314,-58.4926177179409 -34.60102931741,-58.4938120584386 -34.6017439755218,-58.494640611108 -34.602236808334));29;34;SENDERO SEGURO;PLAZA WILLIAMS;V;2009;NAZARE;3000;3100;NAZARRE 3000;NAZARRE;3000;POINT(97383.0888464 103177.033657);VILLA DEL PARQUE;COMUNA 11;1417;C1417DWJ
MULTILINESTRING ((-58.494640611108 -34.602236808334,-58.4953411142678 -34.6013029255003,-58.4953821446059 -34.6012482645491,-58.495845732444 -34.6006302286118,-58.4966251165779 -34.5995911718395,-58.4974020113526 -34.5985518289249));30;35;SENDERO SEGURO;PLAZA WILLIAMS;V;2009;CUENCA;3000;3300;CUENCA 3000;CUENCA;3000;POINT(97126.2193191 102986.957776);VILLA DEL PARQUE;COMUNA 11;1417;C1417AAP
